SAT_Scores,GPA
206,2.3
214,2.4
717,3.5
580,2.8
404,2.6
701,3.2
331,2.1
356,2.2
292,2.1
526,3
394,2.7
696,3
426,2.9
386,2.7
436,2.5
233,2.1
760,3.8
315,2.1
663,3.2
624,3.9
486,2.5
528,2.7
236,2
357,2.2
590,3
334,2.1
546,2.4
609,3
443,2.5
778,3.4
534,2.5
563,2.7
591,2.3
792,3.5
251,3.6
559,2.7
432,2.4
367,3.8
474,3.6
241,3.5
307,3.4
730,2.1
601,2.4
267,3.5
340,2.6
412,3.8
373,3.4
532,3.1
579,2.2
639,2.3
228,2.5
487,2.8
514,2.7
748,2.9
677,3.1
767,3.2
710,3.3
670,3.4
464,3.8
224,3.5
735,3.5
360,3.4
700,3.4
388,3.1
736,2.2
656,2.5
334,2.4
640,2.6
675,2.1
351,2.8
466,2.3
454,2.6
538,2.3
453,2.8
389,2.6
250,2.9
662,2.5
339,3.5
606,3.2
709,3.2
278,3.5
704,3.8
378,3.9
494,2.5
237,2.4
539,2.8
646,2.6
292,2.4
492,2.7
797,2.6
598,2.8
352,2.9
532,2.4
312,2.6
455,2.5
395,2.6
214,2.4
233,2.3
796,3.5
715,3.6
732,3.4
518,3.9
748,3.5
273,2.5
628,2.9
469,2.5
233,2.6
263,2.6
217,2.4
252,2.1
202,2.3
353,2.8
303,2.6
222,2.7
346,2.3
457,2.9
718,2.9
781,3.7
300,3.8
664,3.5
770,3.4
699,2.5
365,2.6
633,2.7
706,2.1
431,2.8
480,3.2
733,3.6
788,3.9
391,2.1
749,3.8
392,3.6
469,2.1
395,2.5
632,3
276,2.5
781,2.6
766,2.4
274,2.1
251,2.8
402,2.9
637,3.5
243,3.6
546,3.4
640,3.5
744,3.7
345,3.2
646,3
709,2.1
599,2
223,2.6
314,2.8
482,2.9
395,2.7
705,2.4
602,2.5
315,3.5
360,3.6
367,3.8
260,3.5
570,3.5
506,3.4
559,3.1
750,3.2
610,2.2
599,2.5
320,2.8
456,2.6
529,2.4
686,2.1
623,2.8
543,2.9
602,3.1
438,3.6
707,3.6
451,2.1
257,2.9
375,2.4
382,2.8
472,2.1
253,2.6
475,2.5
754,2.8
368,2.3
753,3.9
394,2.1
301,2
665,3.4
537,3.1
548,3.1
481,2.6
493,2
222,2
480,2.4
221,2
509,3.1
466,2.5
673,3.5
741,3.9
259,2.4
